name,address,lng,lat
クローバーケア新宿,東京都新宿区高田馬場４－２２－４６ザ・テラス２０４,139.70056,35.71047
あっぷる訪問看護ステーション,東京都荒川区西尾久３－２５－１９小台橋コーポ１階,139.76189,35.75291
くまのまえ訪問サービスセンター,東京都荒川区東尾久３－１９－８ＴＣビル２階,139.77121,35.74717
有限会社　ナックス,東京都千代田区富士見１－５－１　パラシオン飯田橋５０３号,139.74664,35.69884
ニチイケアセンター神田,東京都千代田区神田小川町１－１山甚ビル６Ｆ,139.76689,35.69491
有限会社　サン・居宅支援・介護サービス,東京都千代田区麹町３丁目４番地　啓ビル１Ｆ,139.73766,35.68496
株式会社　ニッカ・コミュニケーションズ,東京都世田谷区等々力六丁目３７番３号　２０２,139.65959,35.61346
株式会社ふれんどりーホームサービス,東京都千代田区神田岩本町四番地　都築ビル８階,139.77463,35.69441
ケアエイド・パール,東京都千代田区三番町７－２ヴィラロイヤル三番町６０３,139.74153,35.68971
コスモスケアステーション,東京都港区新橋６－５－４ＤＩＫマンション８０３,139.75447,35.66211
株式会社　ベストサポート日本橋　ヘルパーステーション,東京都中央区日本橋本石町四丁目5番15号,139.77084,35.689
訪問介護　エンゼル,東京都中央区勝どき２－１０－１４－３０５,139.77753,35.65879
ニチイケアセンター新富,東京都中央区銀座１－１６－６鈴常ビル２階,139.7706,35.67412
ふれあいプラザ　ラビット,東京都江戸川区西葛西３－２２－１５,139.85956,35.66769
エールハート本部,東京都中央区銀座３－１１－１ニュー銀座ビル８階,139.76842,35.67069
東京介護ステーション,東京都中央区新富２－５－１０新富ビル２F,139.77388,35.67169
こまえケアサービス,東京都狛江市中和泉１－９－５,139.57555,35.63547
グリーンハウス,東京都目黒区目黒２－９－３メグロフラッツ２０３,139.70938,35.63344
クローバーケアステーション,東京都中央区築地５－６－１０浜離宮パークサイドプレイス２階,139.76543,35.66261
アソシケア　ゆうゆう　ヘルパーステーション,東京都中央区月島３－１１－６,139.78168,35.66259
大江戸ケアセンター,東京都中央区築地２－７－１２　１５山京ビル３０８,139.7726,35.66978
グッドライフケア訪問介護　中央,東京都中央区新川１－１１－１１東京冷凍新川ビル３Ｆ,139.78198,35.67661
ヘルパーステーションあいおい,東京都中央区佃３－１－１５　Ｂ１,139.78703,35.66563
アイム介護福祉支援センター,東京都港区北青山１－３－１鹿島ビル５階,139.72273,35.67251
三宅島社会福祉協議会　指定訪問介護事業,東京都三宅島三宅村阿古４９７　三宅村役場臨時庁舎内,139.47989,34.07613
養和会訪問介護事業所,東京都八丈島八丈町大賀郷７６７０番地１,139.77177,33.11015
ニチイケアセンターしろかね,東京都港区白金３－３－１,139.7299,35.64646
有限会社　はなみずき,東京都港区高輪２－１５－３１高輪グランドパームス２０４号室,139.73836,35.63694
有限会社　福祉なんでも屋,東京都大島町差木地クダッチ,139.42119,34.70663
株式会社　緑祥,東京都港区赤坂６－４－１７,139.73483,35.67044
こめつつじ会訪問介護事業所,東京都港区東麻布３－５－１５瀬里奈グリーンハイツ８０３号,139.7375,35.65689
有限会社　すばる介護センター,東京都港区高輪３－２－３Ｔ３２３プレイスビル２階,139.73265,35.63532
マスヤマケアセンター,東京都港区南麻布２－９－１７,139.73395,35.64853
あおぞら港事業所,東京都港区芝５－１３－５Ｆ・Ｄ三田ビル１階,139.74503,35.64929
サン介護サービスセンター,東京都港区白金五丁目１２番２４号サンワコービル３階,139.72408,35.64524
Ｋ港ステーション,東京都港区白金台２－２３－４,139.72865,35.63317
ぷちとまと・けあ,東京都港区三田２－７－９サニークレスト三田７０５号室,139.74403,35.65153
キヨタ芝浦介護サービス,東京都港区芝浦４－３－４田町きよたビル３階,139.74324,35.63935
ファミリーケア　みたて,東京都港区港南４－５－３,139.74652,35.62625
東電さわやかケア東京・訪問介護,東京都港区東麻布３－１０－３マルベリービル６階,139.73857,35.65583
びとく,東京都新宿区若葉１－８,139.72581,35.6857
株式会社　大起エンゼルヘルプ　新宿ケアセンター,東京都新宿区大久保２－３２－８オークボニュープラザ１階,139.70268,35.7019
株式会社　サン・ケアネット,東京都新宿区新宿一丁目２０番１３号花園公園ビル１０階,139.71252,35.68918
株式会社　畑中ケアサービス,東京都新宿区大久保一丁目１６番２３号,139.70265,35.70026
なのはな,東京都新宿区信濃町２１－７森田ビル,139.71999,35.68245
株式会社Ｋ－ＷＯＲＫＥＲ,東京都新宿区四谷４－１３－３５ＫＭビル１階,139.71721,35.68905
ニチイケアセンター四谷,東京都新宿区新宿５－９－６ＵＩビル３Ｆ,139.70869,35.69258
ニチイケアセンター高田馬場,東京都新宿区高田馬場１－１６－３７－１０１,139.70639,35.71062
有限会社　まごころホームケアサービス,東京都新宿区天神町６６番１０号　市川ビル１０２号,139.73003,35.70554
アオバケアサービス,東京都新宿区中落合２－４－１　間世田ビル３０１号,139.69368,35.72095
コミュニティケア　パル新宿・中野,東京都新宿区高田馬場３－７－５　グリーンハイツ斉藤１０３,139.70117,35.71412
日生ホームヘルプサービス,東京都新宿区河田町７－５Ｔビル２階,139.7191,35.69665
ハート介護サービス新宿,東京都新宿区高田馬場２－１８－６柳屋ビル４階,139.70497,35.71379
ニチイケアセンター神楽坂,東京都新宿区横寺町１３番メゾン藤１階,139.73515,35.70242
特定非営利活動法人　フットワーク新宿,東京都新宿区西早稲田３－１３－１５,139.71391,35.71015
やさしい手新宿訪問介護事業所,東京都新宿区西新宿７－５－２０新宿旭ビルＡ館６０１,139.6982,35.69771
あさがお介護サービス,東京都新宿区下宮比町２－７　ドメインビル３階,139.7437,35.70352
有限会社　メディカル・ケアサポートツウェンティワン,東京都杉並区井草一丁目４番７号　サンコート井草２０６,139.62209,35.72488
白十字ヘルパーステーション,東京都新宿区市谷砂土原町二丁目７番地ディアコート砂土原２０４,139.73558,35.69558
アースサポート新宿,東京都新宿区新宿１－３０－４,139.71259,35.69014
聖母ホームヘルパーステーション,東京都新宿区中落合二丁目５番２１号,139.69417,35.71974
在宅介護センター　ツーベアー,東京都新宿区新宿七丁目２２番地１４号　,139.71049,35.6997
東京山の手まごころサービス,東京都新宿区高田馬場一丁目３２番地７号　信ビル３０１号,139.70357,35.71061
株式会社シーエスケア　ケアステーションあゆみ,東京都新宿区新宿２－１３－１０エルハイム新宿９０６号,139.7085,35.69011
モテギケアサービス　新宿,東京都新宿区上落合１－９－１１レミコ学院ビル１Ｆ,139.69189,35.71382
小林ケアサービス　,東京都新宿区岩戸町２番１－１４０３号,139.73709,35.70181
株式会社Ｋ－ＷＯＲＫＥＲ　大久保営業所,東京都新宿区北新宿三丁目１０番１０号柏木ローズマンション１０３号,139.69075,35.70206
アースサポート高田馬場,東京都新宿区高田馬場３－２４－５　,139.69693,35.71192
歩くまごの手,東京都新宿区西新宿四丁目３１番３号　永谷リヴュール新宿８１６,139.68851,35.68835
企業組合　ロマン交通　らくだサービス,東京都江戸川区東瑞江２－４９－１２,139.89554,35.68759
日本リック訪問介護事業所,東京都新宿区北新宿４－１１－１３せらび新宿１階,139.69284,35.7079
ＮＰＯマイフレンド,東京都板橋区小茂根四丁目２８番６号　第２ＫＵハイム２０５号,139.67252,35.74501
ふらわーひる介護サービス,東京都渋谷区千駄ヶ谷５－５－６御苑ホームズ４０２,139.70683,35.68217
戸山のさくらんぼ,東京都新宿区戸山２－３－１１８,139.71568,35.70389
日本リック訪問介護早稲田事業所,東京都新宿区西早稲田３－２３－８早稲田セントラルハイツ１０１号,139.71254,35.7134
東電さわやかケア神楽坂・訪問介護,東京都新宿区矢来町５７番キャップス神楽坂２階,139.73267,35.70391
ケアサポートこの花中井事業所,東京都新宿区中井１－９－９サンハイツ中井１－B,139.68272,35.71441
有限会社　渡瀬,東京都文京区本駒込１－２１－１４,139.752,35.72641
ケアワーク弥生　介護サービス部,東京都文京区弥生二丁目１５番１３号,139.76331,35.71692
東京保健生活協同組合　介護センター健生,東京都文京区大塚６－９－１０,139.72627,35.72601
有限会社あゆみ介護文京,東京都文京区千駄木５－２８－５　,139.7589,35.72733
ニチイケアセンター茗荷谷,東京都文京区春日２－１０－１５　志知ビル２階,139.74179,35.71294
有限会社　トチギ介護サービス,東京都文京区向丘２－３４－１２清水ビル１階,139.75603,35.72382
老松ケアサービス,東京都文京区大塚五丁目１５番１０号　三恵ビル１階,139.73,35.72358
有限会社　加藤介護サービス,東京都文京区本駒込１－２５－２４,139.75082,35.72786
ケアメイト目黒訪問介護事業所,東京都目黒区鷹番２－１７－１１イムーブル鷹番Ａ－２,139.68692,35.62723
龍岡ヘルパーステーション,東京都文京区湯島４－９－８　,139.76476,35.7096
有限会社　アドワンス　サポート・コスモス,東京都文京区千駄木４－１０－１５,139.75821,35.73081
音羽介護サービス,東京都文京区音羽１－２０－２　音羽ダイコクビル４０４号,139.729,35.7155
ふれあい,東京都文京区音羽２－１１－２５森田マンション５０２,139.72679,35.7195
カインド・ケア・ステーション文京,東京都文京区湯島四丁目６番１２号湯島ハイタウンＢ棟９－９１６,139.76807,35.70858
ヘルパーステーション　せら,東京都文京区本郷３－１５－２本郷二村ビル２０１,139.76172,35.70471
アースサポート文京,東京都文京区向丘１－９－１７,139.75337,35.72204
テルウェル東日本　文京介護センタ,東京都文京区白山１－６－５　シルバープラザ白山１０１号室,139.75215,35.71582
まごのて白山,東京都文京区白山１－１９－１２－２０１,139.75185,35.71756
プーさんの家,東京都中央区佃２－１６－７－６０１,139.78464,35.66553
佐々木ケアサービス株式会社在宅介護事業部千駄木営業所,東京都文京区千駄木４－１－２２,139.76003,35.73124
